accession_name,location,plot_number,block_number,is_a_control,rep_number,row_number,col_number,cassava mosaic disease incidence in 3-month|CO_334:0000219,cassava mosaic disease severity in 3-month|CO_334:0000218,cassava bacterial blight incidence 3-month evaluation|CO_334:0000178,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,sprout count at three-month|CO_334:0000214,CMD I 6MAP,CMD S 6MAP,CBB I 6MAP,CBB S 6MAP,CGM I 6MAP,CGM S 6MAP,VIGOUR 6MAP,Cbb9i,Cbb9s,Cmd9i,Cmd9s,Vigor 9map,Vigor preharvest,Sprout Count Net,Plnt Ht 1,Plt Ht 2,Plt Ht 3,Arch,fresh shoot weight,fresh root weight per plot,marketable root number,marketable root weight measurement in kg,plant stands harvested ,root color visual rating 1-3,root number counting,storage root shape,Root Rot,weight in air,weight in water,spg,dmc.spg,fry,starch,DMc.oven
NR17C2aF7P018,otobi,177,29,NA,2,29,8,0,1,3,2,4,0,1,2,2,2,3,3,2,2,0,1,5,5,4,145,167,185,4,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.88
NR17C2aF10P017,otobi,178,29,NA,2,29,9,0,1,5,2,7,0,1,5,2,6,3,7,5,2,0,1,7,7,7,275,256,280,4,27,15,26,14,4,2,34,NA,NA,4090,530,1.148876404,39.75224719,18.75,28.78314607,46.63
NR17C2aF7P030,otobi,179,29,NA,2,29,10,0,1,4,2,6,0,1,4,2,4,4,7,3,2,2,2,7,7,6,215,220,225,3,11.2,10,14,8.8,2,1,19,2,NA,4460,610,1.158441558,41.26545455,12.5,30.79948052,47.28
NR17C2aF89P002,otobi,180,29,NA,2,29,11,0,1,0,1,5,0,1,3,2,3,4,3,3,2,0,1,5,5,4,110,135,140,4,2,2,1,0.8,1,1,3,3,NA,1290,140,1.12173913,35.45913043,2.5,23.0626087,46.25
NR17C2aF7P034,otobi,181,29,NA,2,29,12,0,1,5,2,9,0,1,5,3,5,3,5,5,2,0,1,5,5,8,185,178,190,4,25,14.4,10,10.2,3,1,18,3,NA,3790,390,1.114705882,34.34647059,18,21.58,42.88
IITA-TMS-1BA30572,otobi,182,29,1,2,29,13,0,1,0,1,3,0,1,1,3,1,4,5,0,1,0,1,5,5,2,150,165,NA,4,4.8,7.2,8,6,2,1,10,3,NA,3000,380,1.145038168,39.14503817,9,27.9740458,
NR17C2aF79P001,otobi,183,30,NA,2,30,13,0,1,2,2,3,0,1,2,3,2,3,5,5,2,0,1,7,7,4,214,220,216,3,3.2,7,6,7,2,1,6,2,NA,NA,NA,NA,NA,,NA,42.36
NR17C2aF61P004,otobi,184,30,NA,2,30,12,0,1,3,2,5,0,1,3,2,3,3,5,3,2,0,1,5,5,5,165,155,NA,5,1.8,1.4,3,1.4,1,1,3,1,NA,1490,170,1.128787879,36.57424242,1.75,24.54848485,44.06
NR17C2aF92P002,otobi,185,30,NA,2,30,11,0,1,0,1,7,0,1,4,2,5,4,7,5,2,4,2,7,7,7,180,195,186,3,12.4,17.4,15,15,4,1,29,1,NA,3940,420,1.119318182,35.07613636,21.75,22.55227273,42.31
NR17C2aF60P003,otobi,186,30,NA,2,30,10,0,1,4,2,5,0,1,4,3,4,3,5,2,2,0,1,5,5,5,215,225,230,3,5,9.8,10,8,2,1,18,1,NA,3170,400,1.144404332,39.04476534,12.25,27.84043321,39.99
NR17C2aF89P067,otobi,187,30,NA,2,30,9,0,1,4,2,6,0,1,2,2,4,3,3,4,2,0,1,5,5,6,175,180,195,3,2.8,8.6,12,8.6,3,1,12,1,NA,2680,390,1.170305677,43.14235808,10.75,33.30043668,43.81
NR17C2aF91P004,otobi,188,30,NA,2,30,8,0,1,6,2,9,0,1,7,2,7,4,7,5,2,4,2,7,7,9,208,220,235,4,36.2,24,24,19,6,2,44,1,NA,3270,450,1.159574468,41.44468085,30,31.03829787,40.18
NR17C2aF40P004,otobi,189,30,NA,2,30,7,6,4,6,2,8,0,1,6,2,6,4,5,6,2,5,2,7,7,8,235,240,236,3,21.2,13,13,10.8,5,2,21,1,NA,2720,340,1.142857143,38.8,16.25,27.51428571,45.88
NR17C2aF15P032,otobi,190,30,NA,2,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NR17C2aF79P005,otobi,191,30,NA,2,30,5,0,1,2,2,3,0,1,2,3,2,3,7,2,3,0,1,7,7,3,230,250,247,3,11,15.2,12,13.2,3,1,20,3,NA,3260,430,1.151943463,40.23745583,19,29.42968198,47.63
NR17C2aF114P004,otobi,192,30,NA,2,30,4,0,1,8,2,10,0,1,8,2,8,3,7,7,2,0,1,7,7,10,320,360,355,3,27.5,28,25,20,7,2,46,3,NA,3960,510,1.147826087,39.58608696,35,28.56173913,40.88
NR17C2aF6P030,otobi,193,30,NA,2,30,3,0,1,5,2,7,0,1,5,3,5,3,5,4,2,0,1,5,5,7,210,208,235,3,12.8,12.8,15,12.2,6,1,21,1,NA,3400,280,1.08974359,30.3974359,16,16.31794872,45.80
NR17C2aF1P003,otobi,194,30,NA,2,30,2,0,1,5,2,6,0,1,3,3,3,3,7,3,2,0,1,7,7,6,245,250,265,3,17,15.6,12,14,3,1,21,1,NA,2940,380,1.1484375,39.6828125,19.5,28.690625,44.88
NR17C2aF27P001,otobi,195,30,NA,2,30,1,0,1,4,2,6,0,1,3,3,3,4,5,3,2,0,1,7,7,5,220,218,225,4,21,13.2,12,12.5,3,1,16,1,NA,3230,410,1.145390071,39.20070922,16.5,28.04822695,44.26
